name,year,frequency,Percentage
Richard,1910,1643,0.064416064260807038
Richard,1911,2024,0.079353690848370934
Richard,1912,4183,0.16400024151123302
Richard,1913,5103,0.20007010098776526
Richard,1914,6668,0.26142806846686628
Richard,1915,9148,0.35865986357751845
Richard,1916,10136,0.39739575614579437
Richard,1917,10911,0.42778069211787317
Richard,1918,12331,0.48345373609252074
Richard,1919,12472,0.48898183412098928
Richard,1920,15025,0.58907569416836625
Richard,1921,16399,0.64294524516918727
Richard,1922,17572,0.6889343160017658
Richard,1923,18909,0.7413532313497263
Richard,1924,21293,0.83482121503674034
Richard,1925,23331,0.9147237950510585
Richard,1926,25209,0.98835335602597973
Richard,1927,26878,1.0537887858806887
Richard,1928,28935,1.1344362869059352
Richard,1929,29719,1.16517408019898
Richard,1930,32283,1.2656992103053157
Richard,1931,31914,1.2512320601457065
Richard,1932,31887,1.2501734881828084
Richard,1933,31407,1.2313544310646176
Richard,1934,33241,1.3032589118037048
Richard,1935,34019,1.3337614668827722
Richard,1936,33545,1.3151776479785589
Richard,1937,33042,1.2954568443734549
Richard,1938,34462,1.3511298883481024
Richard,1939,35427,1.3889640344294649
Richard,1940,37485,1.4696507418237077
Richard,1941,39179,1.5360663309033227
Richard,1942,43652,1.7114364194234626
Richard,1943,46386,1.8186266322591573
Richard,1944,45692,1.7914174121757731
Richard,1945,46104,1.8075704362022202
Richard,1946,58932,2.3105097376858676
Richard,1947,58623,2.2983949696660324
Richard,1948,51029,2.0006618035086565
Richard,1949,50997,1.999407199700777
Richard,1950,51048,2.0014067245195846
Richard,1951,54589,2.1402364771352378
Richard,1952,58396,2.2894951239038881
Richard,1953,58470,2.2923963952096091
Richard,1954,57098,2.2386052569467805
Richard,1955,53638,2.1029512202198224
Richard,1956,52992,2.0776239058482573
Richard,1957,52474,2.0573150067082095
Richard,1958,50014,1.9608673389774822
Richard,1959,47251,1.8525401414408968
Richard,1960,43625,1.7103778474605642
Richard,1961,41194,1.6150671644307275
Richard,1962,39509,1.5490044326720787
Richard,1963,40874,1.6025211263519337
Richard,1964,40168,1.5748414298405948
Richard,1965,36918,1.447420730602845
Richard,1966,34548,1.3545016360817783
Richard,1967,33687,1.3207449523760235
Richard,1968,33091,1.29737795645427
Richard,1969,31199,1.2231995063134016
Richard,1970,30548,1.1976761600968555
Richard,1971,26230,1.0283830587711313
Richard,1972,22395,0.87802663367058653
Richard,1973,20024,0.78506833278052357
Richard,1974,18676,0.73221814737360458
Richard,1975,17770,0.69669717706301948
Richard,1976,16832,0.65992160294455515
Richard,1977,17516,0.6867387593379769
Richard,1978,16777,0.65776525264976249
Richard,1979,16788,0.658196522708721
Richard,1980,16722,0.65560890235496971
Richard,1981,16921,0.66341096978521963
Richard,1982,16791,0.65831414181570969
Richard,1983,15964,0.62589047465582692
Richard,1984,15661,0.614010944849969
Richard,1985,15408,0.60409173349392264
Richard,1986,15081,0.59127125083215515
Richard,1987,14458,0.56684568294750348
Richard,1988,14212,0.55720091617443068
Richard,1989,14165,0.55535821683160791
Richard,1990,13594,0.53297138013476009
Richard,1991,12573,0.49294167738960859
Richard,1992,11344,0.44475704989324105
Richard,1993,10239,0.40143401215240615
Richard,1994,9524,0.37340145832010119
Richard,1995,8790,0.34462398347686785
Richard,1996,8189,0.32106095571013321
Richard,1997,7248,0.28416776248468012
Richard,1998,6954,0.27264108999978831
Richard,1999,6501,0.25488060484449576
Richard,2000,6354,0.24911726860204986
Richard,2001,5771,0.22625995547724737
Richard,2002,5319,0.20853867669095108
Richard,2003,5051,0.19803136979996128
Richard,2004,4862,0.19062136605967367
Richard,2005,4667,0.18297612410540867
Richard,2006,4464,0.17501723119917384
Richard,2007,4416,0.17313532548735477
Richard,2008,4051,0.15882500080373058
Richard,2009,3607,0.14141737296940413
Richard,2010,3230,0.12663657185782515
Richard,2011,3157,0.12377450692110031
Richard,2012,3020,0.11840323436861672
Richard,2013,2792,0.10946418223747612
Richard,2014,2881,0.11295354907814065
Richard,2015,2655,0.1040929096849925
Richard,2016,2509,0.098368779811542822
Richard,2017,2276,0.089233695835421067
Richard,2018,2125,0.083313534116990232
Richard,2019,1960,0.076844483232612171
Richard,2020,1806,0.07080670240719264
Richard,2021,1760,0.069003209433366033
