name,year,frequency,Percentage
Woodrow,1910,11,0.03197581465655068
Woodrow,1911,82,0.2383651638033778
Woodrow,1912,1826,5.3079852329874129
Woodrow,1913,2314,6.7265486468416613
Woodrow,1914,1747,5.078340745908549
Woodrow,1915,1941,5.6422778407604426
Woodrow,1916,2645,7.688729978779687
Woodrow,1917,2421,7.0375861166826548
Woodrow,1918,3337,9.7002994099008752
Woodrow,1919,1792,5.2091508967762561
Woodrow,1920,733,2.1307520130228772
Woodrow,1921,639,1.8575041423214442
Woodrow,1922,589,1.7121595302462138
Woodrow,1923,443,1.2877532629865411
Woodrow,1924,469,1.363332461265661
Woodrow,1925,345,1.0028778233190896
Woodrow,1926,269,0.78195401296473943
Woodrow,1927,301,0.87497456469288681
Woodrow,1928,195,0.56684398709339845
Woodrow,1929,195,0.56684398709339845
Woodrow,1930,184,0.53486817243684781
Woodrow,1931,202,0.58719223278393073
Woodrow,1932,263,0.76451265951571179
Woodrow,1933,191,0.55521641812738
Woodrow,1934,190,0.55230952588587545
Woodrow,1935,242,0.703467922444115
Woodrow,1936,231,0.6714921077875643
Woodrow,1937,322,0.93601930176448356
Woodrow,1938,368,1.0697363448736956
Woodrow,1939,390,1.1336879741867969
Woodrow,1940,409,1.1889189267753844
Woodrow,1941,454,1.3197290776430917
Woodrow,1942,443,1.2877532629865411
Woodrow,1943,511,1.4854219354088545
Woodrow,1944,494,1.4360047673032761
Woodrow,1945,461,1.3400773233336241
Woodrow,1946,432,1.2557774483299904
Woodrow,1947,448,1.302287724194064
Woodrow,1948,396,1.1511293276358245
Woodrow,1949,370,1.0755501293567047
Woodrow,1950,289,0.84009185779483153
Woodrow,1951,335,0.97380890090404348
Woodrow,1952,331,0.962181331938025
Woodrow,1953,276,0.80230225865527161
Woodrow,1954,283,0.82265050434580389
Woodrow,1955,249,0.72381616813464722
Woodrow,1956,210,0.61044737071596755
Woodrow,1957,199,0.57847155605941691
Woodrow,1958,191,0.55521641812738
Woodrow,1959,126,0.36626842242958052
Woodrow,1960,170,0.49417168105578324
Woodrow,1961,180,0.52324060347082935
Woodrow,1962,154,0.44766140519170955
Woodrow,1963,146,0.42440626725967268
Woodrow,1964,154,0.44766140519170955
Woodrow,1965,135,0.392430452603122
Woodrow,1966,113,0.32847882329002065
Woodrow,1967,110,0.31975814656550683
Woodrow,1968,104,0.30231679311647919
Woodrow,1969,119,0.34592017673904829
Woodrow,1970,101,0.29359611639196537
Woodrow,1971,100,0.29068922415046072
Woodrow,1972,95,0.27615476294293773
Woodrow,1973,71,0.20638934914682713
Woodrow,1974,48,0.13953082759222116
Woodrow,1975,49,0.14243771983372577
Woodrow,1976,60,0.17441353449027644
Woodrow,1977,67,0.1947617801808087
Woodrow,1978,43,0.12499636638469812
Woodrow,1979,59,0.17150664224877185
Woodrow,1980,35,0.10174122845266126
Woodrow,1981,35,0.10174122845266126
Woodrow,1982,24,0.069765413796110579
Woodrow,1983,35,0.10174122845266126
Woodrow,1984,6,0.017441353449027645
Woodrow,1985,23,0.066858521554605976
Woodrow,1986,13,0.0377895991395599
Woodrow,1987,10,0.029068922415046074
Woodrow,1988,25,0.072672306037615181
Woodrow,1989,24,0.069765413796110579
Woodrow,1990,17,0.049417168105578328
Woodrow,1991,23,0.066858521554605976
Woodrow,1992,26,0.0755791982791198
Woodrow,1993,12,0.034882706898055289
Woodrow,1994,16,0.046510275864073719
Woodrow,1995,11,0.03197581465655068
Woodrow,1996,11,0.03197581465655068
Woodrow,1997,6,0.017441353449027645
Woodrow,1998,10,0.029068922415046074
Woodrow,2000,6,0.017441353449027645
Woodrow,2003,6,0.017441353449027645
Woodrow,2005,5,0.014534461207523037
Woodrow,2008,5,0.014534461207523037
Woodrow,2009,5,0.014534461207523037
Woodrow,2011,6,0.017441353449027645
Woodrow,2013,7,0.02034824569053225
Woodrow,2014,17,0.049417168105578328
Woodrow,2015,7,0.02034824569053225
Woodrow,2016,18,0.05232406034708293
Woodrow,2017,6,0.017441353449027645
Woodrow,2018,19,0.05523095258858754
Woodrow,2019,15,0.04360338362256911
Woodrow,2020,23,0.066858521554605976
Woodrow,2021,32,0.093020551728147438
